Date;ls_vnindex;ls_US;ls_EU;ls_TQ;ls_TL;ls_SI;fx_US;fx_EU;fx_TQ;fx_TL ;fx_SI;cpi_ US;cpi_ EU;cpi_ TQ;cpi_ TL;cpi_ SI;M2_US;M2_EU;M2_TQ;M2_SI
10/01/2023;-10,91%;5,33%;3,72%;2,90%;2,50%;3,90%;1,15%;1,21%;1,01%;2,19%;0,88%;3,69%;4,31%;-0,19%;-0,31%;4,70%;-0,09%;-0,30%;0,48%;2,14%
11/01/2023;6,41%;5,33%;3,42%;2,90%;2,50%;3,78%;-1,26%;1,62%;4,18%;1,06%;1,12%;3,25%;2,88%;-0,48%;-0,44%;3,60%;0,06%;0,14%;0,62%;2,09%
12/01/2023;3,27%;5,33%;2,87%;2,90%;2,50%;3,78%;0,04%;1,43%;1,97%;2,84%;1,38%;3,14%;2,37%;-0,29%;-0,83%;3,70%;0,23%;0,60%;0,47%;2,05%
01/01/2024;3,04%;5,33%;2,90%;2,90%;2,50%;3,45%;0,64%;-1,37%;-2,32%;-2,70%;-0,90%;3,32%;2,90%;-0,87%;-1,11%;2,90%;0,00%;-0,45%;2,14%;2,01%
02/01/2024;7,59%;5,33%;3,02%;2,90%;2,50%;3,44%;0,92%;0,80%;0,51%;-0,06%;0,50%;3,11%;2,75%;0,68%;-0,77%;3,40%;-0,04%;0,21%;-1,18%;1,97%
03/01/2024;2,50%;5,33%;2,95%;2,90%;2,50%;3,45%;0,69%;0,58%;0,12%;-0,67%;0,42%;3,17%;2,57%;0,10%;-0,47%;2,70%;0,44%;0,23%;2,74%;1,93%
04/01/2024;-5,81%;5,33%;3,07%;2,90%;2,50%;3,57%;2,10%;0,89%;0,62%;-0,13%;0,91%;3,48%;2,41%;0,19%;0,19%;2,70%;0,12%;0,05%;0,02%;1,90%
05/01/2024;4,32%;5,33%;3,12%;2,90%;2,50%;3,57%;0,43%;2,10%;2,08%;1,55%;1,48%;3,36%;2,36%;0,29%;1,54%;3,10%;0,43%;0,30%;-0,04%;1,86%
06/01/2024;-1,30%;5,33%;3,17%;2,90%;2,50%;3,57%;0,02%;-1,15%;-1,50%;0,27%;-0,26%;3,25%;2,55%;0,19%;0,62%;2,40%;0,35%;0,71%;1,22%;1,83%
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
