,Date,ls_vnindex,ls_US,ls_EU,ls_TQ,ls_TL,ls_SI,fx_US,fx_EU,fx_TQ,fx_TL ,fx_SI,cpi_ US,cpi_ EU,cpi_ TQ,cpi_ TL,cpi_ SI,M2_US,M2_EU,M2_TQ,M2_SI
0,2001-01-02,0.0268510984540276,0.054900000000000004,0.050210686,0.032400000000000005,0.015,0.0176,0.001304049416609443,-0.012592907510298734,-0.012616762820990224,-0.01263521809267043,0.0006057899679228207,0.037212049616065945,0.020972481966337275,0.0,0.0144,0.0131,0.0077175070844304194,0.005254139780623168,-0.009694380545514303,0.002143470955366489
1,2001-01-03,0.06695721077654526,0.053099999999999994,0.0493812240909091,0.032400000000000005,0.015,0.021099999999999997,-0.0013708958804579119,-0.05025685185735074,-0.05018801076756907,-0.04406631010433604,-0.03516957805058907,0.03529411764705892,0.02077230359520632,0.007999976291767075,0.0144,0.0185,0.011547436229831787,0.004491894924633089,0.018605801914981512,0.009181365432073374
2,2001-01-04,0.19223913850724084,0.048,0.0510137785714286,0.032400000000000005,0.015,0.0213,0.0015100555975016139,0.01279526020416144,0.01283196721095825,-0.012201746916155387,-0.007170421590775633,0.029824561403508643,0.02255539339259638,0.016000062460873155,0.0253,0.0198,0.012598580441640417,0.006789965572166157,0.008688632702557486,0.006379821285645848
3,2001-01-05,0.25910237642881606,0.0421,0.052625182173912995,0.032400000000000005,0.015,0.0215,0.006510862860667599,-0.04120393594443372,-0.04115760050579376,0.01261092869618663,0.013110934092540605,0.03218256290228205,0.027700463883366444,0.01699999543007058,0.0277,0.0193,-0.0005646527385657629,0.003900012464447933,-0.0066745266166488015,-0.005747964837437447
4,2001-01-06,0.23752040765843763,0.0397,0.0520828771428571,0.032400000000000005,0.025,0.021400000000000002,0.012460847065232095,0.01731382208055643,0.017350695973125108,0.014137106745803818,0.004948922575606085,0.035630841121495394,0.031241726237754897,0.014000098288780904,0.0216,0.0121,0.007890122735242588,0.008629589104057311,0.06325751227017906,-0.008256260175866115
5,2001-01-07,-0.15555289038138642,0.0377,0.05250024863636361,0.032400000000000005,0.025,0.0215,0.006658147824332605,0.03774122338531649,0.03770361043774906,-0.0025893679693292926,0.017669905138728126,0.03193960511033689,0.029287598944591098,0.01500005581942121,0.0216,0.013000000000000001,0.005779452981540478,0.0029451748505926467,0.009600181855453416,-0.02071823204419887
6,2001-01-08,-0.3433697864886617,0.0365,0.0505821360869565,0.032400000000000005,0.025,0.021,0.0033404596472474957,0.044793644258407816,0.04480626726514059,0.04137856560890252,0.039710420402720326,0.027214823393167498,0.02596546724660609,0.009999975498381053,0.0143,0.0071,0.006495752777030406,0.004636761363446151,0.004778571414211896,0.002627799729578717
7,2001-01-09,-0.11874549387166533,0.030699999999999998,0.050374285000000005,0.032400000000000005,0.025,0.0167,0.0006658676255160145,-0.00021162940043206735,-0.00019954999328675171,-0.008338999574713735,-0.013962731901205783,0.027214823393167498,0.024364546292637845,-0.0009998803308406412,0.0131,0.0055,0.021232719773925046,0.00710696295782931,0.012527527347277356,0.01763894472347194
8,2001-01-10,0.06475497013826392,0.024900000000000002,0.048168694347826106,0.032400000000000005,0.025,0.006500000000000001,0.0019297311684856044,-0.011153040444369822,-0.011153040444369822,-0.003896744566334487,-0.02956858959237474,0.025921658986175045,0.02268554943613932,0.001999907598758899,0.0131,0.0022,-0.0021127813925658767,0.004362231518082238,-0.0021268579543433086,0.004678176020160185
9,2001-01-11,0.10845595297552713,0.0209,0.046666605,0.032400000000000005,0.025,0.0116,0.002324500232450122,-0.0012400811957925528,-0.0012883467889306388,0.020005198711570138,-0.0020620402499677004,0.02127659574468077,0.023066841415465333,-0.0029999598540376704,0.0095,-0.0021,0.008187967248130867,0.007680574197311385,0.017102615030102797,0.03061508425379067
10,2001-01-12,-0.18411201996395388,0.0182,0.0495876742857143,0.032400000000000005,0.0225,0.0115,0.001060164325470403,-0.005136467440708947,-0.005064346265403086,-0.005728985652999952,-0.007190331534354888,0.01894374282433997,0.020272037666754006,-0.002999918099618526,0.0072,-0.0059,0.009849836455545713,0.005848970213815807,0.02734535977098851,-0.0011517410559244157
11,2002-01-01,-0.11830926083262527,0.0173,0.050228877826086905,0.032400000000000005,0.02,0.0097,0.0008604712734974207,-0.03559118057825461,-0.035579528203223965,0.004721728055898433,0.00418743128881105,0.01603665521191311,0.020977198697068378,-0.010119000854184934,0.0083,-0.011,0.003735875446280623,0.006439591724424876,0.008633503451316749,-0.007767462557038529
12,2002-01-02,-0.0792580101180439,0.0174,0.05066115,0.027000000000000003,0.02,0.009300000000000001,0.0013226638449836958,0.012987113024857333,0.012987113024857555,0.010264068284584038,0.006483170855412723,0.011958997722095743,0.026429412534345165,-0.00022989305519782732,0.0036,-0.0062,0.005372105388606663,0.0011118927967430636,0.007935185753491947,0.0011119572732090077
13,2002-01-03,0.0473574045002616,0.0173,0.0531646104761905,0.027000000000000003,0.02,0.009399999999999999,0.003236245954692629,0.006934992053654776,0.006825508219014953,0.007967403774354453,-0.0026424502310886666,0.011363636363636465,0.02504565614401244,-0.0072706425389917895,0.0059,-0.0089,0.0021519495203705663,0.0025008617543835765,0.019442559632548706,0.0160960118061535
14,2002-01-04,0.041618785910567,0.0175,0.0529724245454545,0.027000000000000003,0.02,0.01,0.0020078999341672787,0.034768424470808634,0.03478092575050695,0.007221260495739346,0.016588600633153927,0.013628620102214661,0.025301673803036273,-0.012224328748948077,0.0047,-0.0106,3.6395399621413915e-05,0.007610423534655686,0.0030841509990577887,-0.010138809630472756
